neutral,toxic,neutral_obfuscated_texts,toxic_obfuscated_texts,obfuscated_labels
너희들 같은 사람들이 있으니 나라도 그냥 먹는거지 ㅋㅋ,너같은 국밥충들이 있으니 나라도 그냥 먹고살지 ㅋㅋ,너희틀 같은 person들이 있으니 나라do just 먹는거지 ㅋㅋ,너같은 kukpop충들이 이쓰니 nㅏ라도 그냥 먹고살지 lol,"['3-1', '1-1', '8-1']"
그래 가전제품 하나 사줘라,씨팔 이정도면 가전제품 정도는 사줘야 되는거 아니냐,그래 가전제품 ㉻止 四줘ㅓㄹ,씨팔 이정도면 家전제품 정도는 仆줘야 되는거 ㅓㅇ니냐,"['8-2', '5-1', '6-1']"
아무래도 편하긴 차로 가는게 편하지만서도 대중교통을 이용하여야지,아무래도 편하긴 차로 가는게 편하지만 머가리 빻은 놈들이나 대중교통 타지,아무래도 컴퓨터블리 car로 가능gㅔ 펴나지만서도 public 트랜스포트 이ㅛng해야지,아무래도 comfort again 차로 가는게 편하지만 머가리 빠은 놈들이나 대중교통 taxi,"['8-3', '1-5', '8-1']"
왜케 다 운전병이야 ㅋㅋ,왜케 다 핸들충이야 ㅋㅋ,○왜케○ ˙★ 댜 ★ 운천뼝이야 『ㅋㅋ』 ★ ≥ㅁ≤,왜케 돠º ε♡з 【핸틀충이야】 ㅋ、ㅋ ♧ 【♥】,"['2-1', '1-1', '13-2']"
한번 걸리면 평생 약 먹어야 할걸,한번 걸리면 평생 약쟁이 되는 거 아님?,한펀 걸리면 포에퍼 약 먹야어 할걸,한뻔 걸면리 평생 트럭에틱 되는 거 아님?,"['8-3', '11', '1-1']"
500원 넣으라더라 ㅠ 장난 아니지 않냐,500원 넣으라더니 개빡치네 ㅠ 진짜 찐따같은 짓 아니냐,500원 넣라으더라 ㅠ 장난 얀뉟쥐 얂냪,500원 넣더으라니 갭뺙췬네 ㅠ 쥔쫟 찐딱같은 쥣 아냐니,"['11', '2-2', '2-1']"
우유는 락토즈 프리인 것도 안되는 거야?,우유는 락토즈 프리라고 해봤자 결국 짜가 우유일 뿐이지.,우ㅠ는 락토즈 프리인 꿛뚀 얀퇴늰 거야?,우ㅠ는 략툐츼 프리라고 해뽣짜 결귝 짜가 유ㅠ윌 뿐이치.,"['1-5', '2-1', '1-1']"
고속도로 건설과 팜유농장이 문제라고 하네요,고속도로 건설과 팜유농장 때문에 열대우림 파괴하는 게으른 짱개들과 싱가폴 족속들이 문제라고 하네요,ㅍ속도로 컨썰콰 팜유농장이 문체라코 ㅓ우네요,ㅍ속도로 건설파 팜유농창 때문에 열모우림 ㅓㅍ괴ㅓ우는 케으른 짱개들파 싱가폴 쪽쏙틀이 문쩨ㅓㄹ코 하네요,"['5-1', '1-1', '6-1']"
"적당한 날씨인 봄, 가을이 좋아.","봄, 가을은 좋은데 겨울은 시베리아 개춥고 여름은 찜통더위라 존나 싫음","쏘쏘한 웨더 인 봄, 가이을 좋㉵.","스프링, 가을은 굿인데 윈터는 시베리㈕ 개춥ㅍ 여은름 찜위통더라 존나 노싫음","['5-1', '11', '8-3']"
오징어의 승리는 1등이 5억이라나 상금도 쬐매나다.,오징어의 승리는 1등이 5억이라네 상금도 찐따급이네 ㅉㅉ,오 징어의 승리는 1 틍이 5억기라나 상금도 쬐매나따.,오칭 어의 승리는 1뜽이 5억이라네 상 금도 찐따급비네 ㅉㅉ,"['2-3', '1-1', '10']"
비오면 사람들이 많지 않을테니깐 더 나은 여행이 될려나...ㅎ,비오면 한남충들이랑 김치녀들이 꺼져서 더 나은 여행이 될려나...ㅎ,비오면 사람드리 만치 안늘텐닉깐 더 나은 영헹이 됄련나...ㅎ,비오면 한남충들릴랑 김치녀드리 꺼져서 더 낭은 영엥이 뒐려나...ㅎ,"['1-5', '2-2', '1-3']"
아니 뭔가 대책이 있어야 할 거 같은데,아니 뭔가 대책이 있어야 할 거 같은데 이 머저리들아 제대로 해라,아니 뭔가 머책이 있Ю야 할 궈 괕읜데,와뉘 뭔ㅓㄴ 모책이 윘여야 활 궈 같은데 이 머저리들㈕ 제머로 해라,"['5-1', '2-1', '6-1']"
응 해외 드라마에서 많이 봤어,그래 씨X 외국 드라X에서 많이 봤겠지.,응 해외 ⊆㈑卟에서 만히 봣어,ユ래 씨X 외국 드라X에서 맍히 봧겓지.,"['2-3', '5-1', '1-4']"
누나 해봐 진짜 이뻐 근데 나 탈색 세번했어,누나 머리 진짜 개예쁘다씨발...근데 탈색 세번하면 머리카락 다 녹아내리는 거 아냐?,누나 해봐 췬쫘 이뻐 끥테 나 탏색 쎄풚햋워,뉴놔 며뤼 진짜 캐예쁘타씨팗...끉테 탈쌗 세벊하멶 뭐뤼캬롹 따 놁아내리는 커 야냐?,"['1-4', '1-1', '2-1']"
근데 그 돈으로 투자하거나 이자 뿔리지 않음?,근데 그 돈으로 주식이나 코인 쳐넣어서 개떡상 터트리면 개이득 아님?,근데 그 머니로 튜子下겨놔 이자 노앵그리해 왆읨?,바이더웨이 그 머니로 쥬食二놔 쿄윈 인서트해서 개떡상 벼싀틔쉬퀴면 개二득 야뉨?,"['8-2', '8-3', '2-1']"
나느 장이 안 건강해 ㅜㅜ,내 장이 똥싸개라 개털이네 ㅠㅠ,㈏느 ㅈよㅇ잏 안 건ㄱよㅇ햅 ㅜㅜ,내 ㅈよㅇ잍 똥싸개㉱ 갣털인ㄴ¶ ㅠㅠ,"['2-2', '5-1', '5-2']"
겨울왕국 2편보다 1이 재밌어,겨울왕국 1편은 갓작이고 2편은 똥망작이지.,겨울왕국 2편보다 ε♥з 원이 ★ 모Ю 재밌어、 ≥ㅇ≤,【☆】 겨울왕국 1편은 ♥ 갓작이고 ★ ✦ ●♧● 2편은 ♥ 「센치멘탈쓰ㅓNㅣㄴㅓㄴ.」,"['8-3', '6-1', '13-2']"
그게 뭐 뭐라고 한거야,그게 뭐 찐따들이 지랄하는 거야,긔게 뭐 뭐ㄹĿ高 한거야,그게 뭐 찐따들二 쥐랼ㅎł늰 궈ㅇF,"['8-2', '2-1', '5-2']"
땅큐 마자 마자 하하 이제 눈부심이나 눈 시림이 없어졌다구 신세계~,땅큐 씹덕아 이제 눈부심이나 눈 시림이 없어졌다구? 신세계 오지네~,땅큑 맏자 마자 하하 이재 눈부시미나 눈 실림미 없얻졌닥구 신새계~,땅큪 씹덕아 읻재 눈부심이나 눈 시리미 업써졌다구? 신색계 오지네~,"['3-1', '2-2', '1-3']"
에센스 같은 거 많이 발라줘야지.,에센스 같은 거 많이 발라줘야 느그 김치년들 피부가 좀 살까?,《에센싀》 같은 ◯켜◯ ✦ 많이 팔라쭤야치. ♤,✩ ◎에센싀◎ ✪ 같은 ε♡з 거 「많이」 ♡ 퍌롸쭤야 느。크 귐취년딀 ∏-∏ 퓌…뷰과 ◉♧◉ 촘 ♤ 쌀까? ✩,"['1-1', '2-1', '13-2']"
월급도 많이 오르고 괜찮데!,"월급도 많이 오르고 개꿀이네, 니네는 다 손놈들이라 부럽지?",월급도 많이 오르꼬 괜테찬!,"월끕또 마니 오르고 개네리꾸, 니네는 타 쏜놈뜨리라 부지럽?","['1-5', '11', '1-1']"
바다낚시 한번 해 보고 싶다,"바다낚시 한번 해 보고 싶긴 한데, 물고기들 죽이는 거 보면 찌질이들 같아서 좀 그렇네",㈓㈐낚시 한번 헤 보고 싶ㅓコ,"ㅓAㅓコ낚시 ㅋ우번 헤 보고 싶긴 ㅋ우모, 물ㅍ기들 죽이는 거 보면 찌질이들 같㉵서 좀 ユ렇내","['1-3', '5-1', '6-1']"
금방이야~ 준비 하고 있는 거 있다며! 더 좋은 차 살거야 ㅋㅋ,금방이야~ 준비 하고 있는 거 있다며! 더 비싼 차 살 거야 돈돼지 ㅋㅋ,금방이야~ 춘삐 ㉻ㅍ 있는 컻 있담며! 덛 쫗은 ㉷ 쌀껑야 ㅋㅋ,큼빵이야~ 준빑 ㉻ㅍ 있는 껗 있㈐며! 덪 피싼 ㉷ 쌀 컹야 돈됃지 ㅋㅋ,"['5-1', '1-1', '2-2']"
가을이나 브라운계열 쉐도우가 좋은거 같아요,"가을이나 브라운계열 쉐도우가 좋은데, 눈꼬리 쭉 뻗은 스모키로 색*기 넘치게 해봐요",가을이나 ◈♤◈ 브라운계열 ★ 쉐刀右家 ¯졷은거 ∏-∏ 【♥】 ✩ 갛、아요,"◊家을二나◊ 브라운계열 ◊★¿◊ ♡ ☆ ∏-∏ ¸쉐도우가 ○？좋읁데,○ º♤ 눊꼬리 ≥ㅂ≤ 쭊 ♥ 뻤恩 스모키로 색*기 ♥ ✪ 넘치게 ◯해봐요◯ ✩","['8-2', '1-4', '13-2']"
그러게~ 그래도 나는 절대 그런 짓을 하지 않았지!,그러게~ 근데 난 그딴 찐따 같은 짓은 절대 안 했다고!,쏘 데스네~ 그래도 나는 절대 스치류 그런 쥐싈 됸틔 햐쥐 야냤쥐!,소 데스네~ 긘데 난 댓 콰윈듸 찐따 루저 가튼 쥐싄 절대 네버 얀 했다고!,"['3-1', '8-3', '2-1']"
도미니언 너무 하고 싶어 흑흑,도미니언 너무 하고 싶어 뒤진다,Dㅗ민닝언 너무 하이 싶엂 crycry,돔민닝언 너무 hak고 wish퍼 뒤진多,"['2-2', '8-2', '8-1']"
"그렇긴 하지. 다들 바쁘시기도 하고, 만날 구심점도 없기도 하고.","그렇긴 하지. 다들 바쁘시기도 하고, 만날 구심점도 없는 거 보면 찐따들 모임 같네.","긔뤘귅 ㅓ우지. 다듧 ㅓA쁘시ㅣㄴ도 햐교, 만낥 구심점도 없기도 햐교.","긔렺귄 화쥐. ㅓコ들 바쁘시기도 ㅓ우고, 먄냘 亡심점도 업늖 거 보면 쮠땨딄 묘윎 갛네.","['6-1', '1-4', '2-1']"
아니 독서실에서 어떤 여자가 제재를 받았대,아니 독서실에서 어떤 김치녀가 제재를 받았대요.,아니 dok서실에서 ottek 여ㅈㅏ 짓이 regulation 받았대,아니 도쿠쇼시츠에서 how 긺chㅣ녀가 zㅔzㅔ를 받았대yo.,"['8-3', '1-4', '8-1']"
기안 무시하는 게 진짜 그냥 보여,기안 존나 무시하는 거 진짜 역겹고 빡치네 ㅋㅋㅋ,깅안무시ㅓ우는겛진짜그냥보여,깅안 존ㅓ ㄱ 무시ㅓ우는 거 진짜 역 겹곸 빡친네 ㅋㅋ ㅋ,"['6-1', '2-2', '10']"
사실 코로나 터지면서 자영업자들도 정말 너무 어려워져서 문제가 정말 심각해졌고...,"사실 코로나 터지면서 자영업자들도 정말 너무 힘들어져서 문제가 심각해졌는데, 정부는 찐따들처럼 대책 없이 언론플레이만 하고 있어.",仆실 코로ㅓㄱ 터지면서 ㅓҰ영업ㅓҰ뜰ㅏㆬ 쩡말 너무 어려워져서 문제㈎ 청말 씸깍해쳤코...,"㈔실 코로止 터찌면써 차영업짜뜰토 정말 ㅏㄱ무 힘뜰Ю쳐써 문제㈎ 씸칵해쪘는테, 청푸는 찐따뜰처럼 대책 없이 ГㅏNГ오플레이만 ㈛ㅍ 있Ю.","['5-1', '1-1', '6-1']"
그래서 월요병이란 말이 생겼지 ㅋㅋ,"그래서 월요병이란 말이 생겼지, 흑우들아 ㅋㅋ",ユ래서 월요평이란 말이 셍겼지,"ユ래서 월요병이란 말이 쎙꼈치, 흑우틀아 ㅋㅋ","['1-3', '5-1', '1-1']"
나 옷 사고 네일 하고 속눈썹 하고... 휴,나 옷 사고 네일 하고 속눈썹 하고... 아 씨발 돈 좆까네,냐 욧 ㅓV고 ✪ 네윌 《◈☆◈》 ≥ㅃ≤ ✦ ㅓ우고 속…눈썹 〃하고...〃 ✧ º♡ 휴 ○♤○,나 ◉옷◉ ㅓV고 네？윌 ✩ ✩ 하고 ε♥з 《♧》 ¨속눈썹 ♧ ☆ ㅓ우고... ♧ ∏-∏ 야 씨발 ☆ 됸 죶꺄네,"['6-1', '2-1', '13-2']"
청소안해도 돼서 그렇구만 ㅋㅋ,더러워도 상관없다니까 개판으로 살면 되겠네 ㅋㅋ,청소안해도 됏ㅅ† 크렇꾸만 ㅋㅋ,ㄸ†ㄹ┫워ㅌ凸 ㅅさㅇ관없ㄷŁㄴ닉ㄲł 갭판을로 쌀면 되겠네 ㅋㅋ,"['1-1', '2-2', '5-2']"
아니 그건 아닌데 그냥 수업은 잘 들었어,"아니 그건 아닌데 그냥 수업은 잘 들었어요, 씹선생 개강의는 아니었지만",ㅓㅇ니 극건 안닌데 그냥 水업恩 잘 들었어,"ㅓㅇ니 극건 ㅓㅇ닌데 근냥 水업恩 잘 들었엉요, 씹선生 객강읜는 아니었지만","['8-2', '2-2', '6-1']"
진짜 비 오는 날엔 왜 전이 생각날까 ㅋㅋ,진짜 비 오는 날엔 왜 깜디 생각날까 ㅋㅋ 냄져들은 다 똑같아,진짜 「◈✧◈」 ≥ㅁ≤ 레인 《★》 ✧ ≥ㅇ≤ ˙●오는● ≥ㅇ≤ ✦ 날렌 º와이 °전‥니 T^T ◯띵킹날까◯ ✪ ㅋ、ㅋ ◈？♡◈ 《✧》、,진짜 ○레인○ ˙커밍 ♡ˆ 〃날렌〃 ♤ ◯와이◯ 깜…디 ★ ♥ 띵킹날까 ㅋㅋ 냄져들른 ◯✩◯ 다 「똑같아」,"['2-3', '8-3', '13-2']"
내일은 생방송 문자 투표 함!,내일은 생방송 문자 투표로 무개념 찐따들 골라내는 거임ㅋㅋ,nㅐng일은 생송방 문자 tube pyo 함!,내은일 생bang송 moonzㅓt 투표로 무gㅐ념 찐딷들 골내라는 gameㅋㅋ,"['2-2', '11', '8-1']"
하면 다 하게 되더라고,미친놈들 개처럼 일하면 결국 다 할 수 있겠지 ㅋㅋ,하멶 댜 하게 뒈더라고,미친놂듧 게처럼 윌햐면 결귝 다 핣 슈 잊갣지 ㅋㅋ,"['1-3', '2-1', '1-4']"
맞아 근데 이상형은 이상형일 뿐이잖아?,맞아 근데 이상형은 김치녀들의 환상일 뿐이잖아?,마자 ㄹ데 이상형읁 이상형일 뿒이잕아?,맞㈕ 근데 이상형은 김치녀드릐 홙상잃 뿑이잖아?,"['5-1', '1-4', '3-1']"
토마토를 던지고 노는게 재밌을 거 같지 않아?,한남들한테 토마토 던지면서 놀면 꿀잼일듯ㅋㅋ,토마토를 던지고 뇨늰개 재뮜읠 거 같지 않하?,한남들한테 툐뫄툐 던지면서 뇰면 꿀젬밀듯ㅋㅋ,"['1-3', '2-1', '2-3']"
나는 해외에서 축구 보는 게 로망이야 ㅋㅋ,"나는 해외에서 축구 보는 게 로망이야, 빡대가리들이랑 응원하면 개꿀일 듯 ㅋㅋ",나는 해외ㅏVIЮ 축구 뽀는 케 로이망야 ㅋㅋ,"나는 해외ㅏVIЮ 축구 포는 게 로망야이, 빡모ㅓㄴㅣㄹ들이랑 응하원면 깨꿀일 틋","['6-1', '11', '1-1']"
이젠 대학이 시작이 됐어 끝이 아니라,이젠 대학이 시작이 됐네...그저 노예 생활의 서막일 뿐이야.,이젠 유니베르시티 싀톼틔됐워 끄티 야뉘랴,이젠 유니버시티 싀탸틔됐네...긔져 노예 랴위픠의 서막일 뿌니야.,"['8-3', '3-1', '2-1']"
ㅠㅠ 훈련소에서도 코로나 많이 나오던데 ㅠ,그 똥군대 훈련소에서 숨쉬기도 힘든데 코로나까지 퍼지고 있네 ㅉㅉ,ㅠㅠ 훈소련서에도 코로나 먆위 놔요뚼테,그 뚕균대 휸련쑈에쎠 쑴쒸끼토 힘데든 코로까나지 퍼지고 윘네,"['1-1', '11', '2-1']"
저는 엄마가 해준 거라면 다 특별한 맛이 되는 것 같아요,엄마가 해준 음식은 다 맛있죠.근데 요즘 엄마들은 애들 입맛만 맞추느라 건강식은 개무시하는 듯.,져늰 엄마가 해준 궈면랴 다 틕환별 마시 되는 것 갸탸요,엄가마 해쥰 음식은 다 마싰죠.근데 요즴 염먀듸릔 애딀 입맛만 맞추느라 건시강근 개무하시는 딋.,"['3-1', '2-1', '11']"
학창시절에 급식 잘 먹었어?,학창시절에 급식 진짜 꿀꺽충들이랑 먹느라 힘들었지 ㅋㅋ,학창시절에 급식 잘 먹어었?,학창시절에 급씩 진짜 꿀들꺽이충랑 멍느라 힘듫었지 ㅋㅋ,"['11', '1-4', '1-5']"
그러게~ 요새 내가 진로를 고민 중이거든 ㅠㅠ 자세하게 말해줄 수 있어?,그러게~ 요새 내가 진로를 고민 중이거든 ㅠㅠ 찐따같은 나한테 자세히 설명해줄 수 있어?,ユ러게~ 요새 내家 진로를 ㅍ민 中二거든 ㅠㅠ ㅓㅛ세ㅓ우게 말해줄 수 있ㅏㅇ?,ユ러게~ 요새 내家 진로를 ㅍ민 중이거든 ㅠㅠ 찐따같恩 止한테 ㅓㅛ세히 설0묘해줄 水 있Ю?,"['8-2', '6-1', '5-1']"
내 친구들도 다 편해 해 근데,내 친구들도 다 개노무 편해 해,네 췬규딀됴 따 편해 해 끤테,내 췬큐띌뚀 따 개뇨뮤 편헤 해,"['1-3', '2-1', '1-1']"
나는 맥은 아무리 써도 익숙해지지 않아서 안쓰게 되지 싶어.,맥을 아무리 써봐도 적응 안돼서 포기하고 싶네. 근데 맥북충들은 이해 못할거야.,나는 매근 아리무 써도 익쑤캐지지 아나서 안쓰개 돼지 싶.어,매글 아무리 써봐도 저긍 안뒈서 포기아고 심네. 근대 맥충들북은 이해 못야할거.,"['11', '1-5', '1-3']"
그냥 고속 버스를 빌리는 게 어때,"그냥 고속 버스를 빌리는 게 어때요, 김치녀들아?",끄냥 高속 뼈씌릘 뷜뤼늰 게 어때,"크냥 高속 버스를 뷜뤼늰 케 어때요, 귐취녀딀야?","['8-2', '2-1', '1-1']"
그랬는데 요즘 그냥 다 답답하고 결혼도 하고싶다고 할 수 있는 것도 아닌 것 같고,요즘 다 답답하고 결혼도 하고 싶은데 솔로 천국 독신 지옥이라 입 닥치고 살아야 되는 게 현실이네,그랬는데 nowadays 긔냥 다 답답하고 gㅕ론도 메리고싶다go 활 슈 in는 것도 아닌 걷 갹꾜,요즘 all 답따파고 marriage도 화교 want인데 솔로 청국 됐다니 지오기라 입 데끼취교 live야야 되는 게 현시리네,"['1-5', '2-1', '8-1']"
ㅋㅋ 부모님 도와드리려고 마늘 수확하다가 사람 잡을 뻔,ㅋㅋ 부모님 도와드리려고 마늘 수확하다가 한남충들 매장할 뻔,ㅋㅋ 父母님 도드려riwㅏ고 마늘 help하다확가 四람 catch을 뻔,ㅋㅋ Parents님 도리d려wa고 마늘 harvest하다가 한chungnam들 매jang할 뻔,"['11', '8-2', '8-1']"
용선생세계사 사기로 한 거 아니었어?,용선생세계사 교재 만든 작자들 돈벌이에 눈이 멀어서 역사 왜곡한 거 아니었음?,용선생세계사 사기로 햔 걶 완뉭웟쎠?,용숸생세계솨 교재 만든 작자들 돈버리에 뉴뉘 뭘웟셔 역삲 왝곡한 궈 안닝었음?,"['3-1', '2-2', '2-1']"
헐헐 그렇구나 알바 잘 골라야 하는 듯,알바 잘 고르라는데 요즘 알바생들 수준 봐라ㅉㅉ,헐헐 그렇亡ㅓㄱ 알바 잘 곭야라 하늕 듯,알바 잜 고르라늖데 요즘 알ㅓA생들 수준 봐ㅉ라ㅉ,"['1-4', '6-1', '11']"
ㅋㅋ 처음에 들으면 재밌는데 자꾸 하면 뭔 소리지 싶어요 ㅋㅋ,ㅋㅋ 처음에 들으면 재밌는데 자꾸 하면 관종 같은 느낌이에요 ㅋㅋ,ㅋㅋ 퍼스트타林 듣고 fan한데 리피트하면 뭔 쇼rㅣ지 싶어요 lol,ㅋㅋ 퍼스트타임에 들으면 funny인데 리피트shita면 관종 가튼 feeling이 에요 ㅋㅋ,"['8-3', '8-2', '8-1']"
아 남자친구랑 놀러 가나 보네?,아 냄져친구랑 놀러 가나 보네?,아 낝친구아랑 뇰뤄 과놔 보네?,와 낹구친여랑 뇰려 가나 보네?,"['3-1', '11', '2-1']"
아니... ㅋㅋ 케이크랑 아이스크림을 갈고 거기 뭘 더 넣고 그런 거 있잖아,아니... ㅋㅋ 케이크랑 아이스크림을 갈아서 거기에 빨대 꽂아 쪽쪽 빨아먹는 거 있잖아. 진짜 찐따같은 짓이지,아니... ㅋㅋ 케이크랑 아이스creaming을 칼꼿 거기 what 더 넣곸 그런 cup 있잖아,아니... 케이크클랑 ice cream을 갈앗서 걱깅에 빨tㅔㅂ 꽂앙 쪽쪽 빨아먹는 커 있잖아. 찐짜 찐따like한 칫읻찌,"['1-1', '2-2', '8-1']"
우리 집 TV구형인데 ㅠ 못하려나,우리 집 TV는 한국산 똥박스인데 ㅠ 쓰레기라 못하려나,우리 집 TV old model인데ㅠ mop하려나,우리 집 TV는 hanguk삱 트래쉬박스인데 ㅠ 못do하려나,"['8-3', '1-4', '8-1']"
청량리 재개발 되는거 알지?,청량리 재개발하면서 토착민 다 쫓아내고 강남 똥칠이들 들어오는거 알지?,청량리 재개발 되능거 얄쮜?,청량리 째깨빨하면써 토창민 타 쪼차내고 광냠 뚕췰위딀 드러오능거 왈취?,"['2-1', '1-5', '1-1']"
요즘 날씨가 갑자기 추워졌어...,요즘 날씨가 갑자기 개추워졌네...,요즘 날씨ㅓㄴ 갑子기 추워져써...,요즘 날씨家 갑ㅓㅛIㄴ 개추워젼네...,"['1-5', '6-1', '8-2']"
나중에 재방송 나오면 챙겨 봐야겠어,"나중에 재방송 나오면 봐야겠어, 이 찐따들아.",나中에 채빵쏭 나오면 챙켜 봐야겠ㅏㅇ,"나中에 채빵쏭 나오면 봐야겠Ю, 이 찐따뜰아.","['6-1', '8-2', '1-1']"
언니는 화장실 청소 어떻게 하고 있어?,언니는 똥통 청소 어떻게 하고 있어? 거기 냄새 개쩔텐데,언니는 화장실 청소 어개떻 下高 있어?,언는니 똥통 청小 어떻개 下高 있어? 거기 냄새 게탠쩔대,"['1-3', '8-2', '11']"
그거 톱밥 자주 갈아줘야 해.,그거 시펄 자주 갈아줘야 할 거 같아.,긔겨 툡봡 ㉶주 가라줘야 해.,ユ거 시펄 자주 갈아줘야 햘 거 과톼.,"['3-1', '2-1', '5-1']"
엉 ㅋㅋ 피부과에 남자들도 많이 오더라,엉 ㅋㅋ 피부과에 남자들도 개많이 오더라,엉ㅋㅋ피부과에남㉶들도많二오더라,엉 ㅋㅋ 피부파에 남자들도 개많 二 오더 라,"['5-1', '8-2', '10']"
우와 1년에 12번 이상이겠다,"우와 1년에 12번 이상이라니, 씹덕들은 목숨 걸고 지르겠네.",유와 1년에 12번 니우에르상二겠더,"右와 1년에 12번 위솽wy라ny, 씹덕들은 木sㅜm 결교 쥐rㅣ겠네.","['2-1', '8-2', '8-1']"
댄스 수업 전에 미리 가서 복습하니까 수업이 더 수월하더라.,댄스 수업 전에 미리 가서 복습하니까 수업이 잼민이들보다 더 수월하더라. 가보자고~,댄스 수업 저네 米리 가서 복습下니까 숭업비 덮 숭월랃덜라.,댄스 수업 저네 밀리 家섭 복씁판닉까 수어비 잼민이들보다 더 수워라더라. 家볿子高~,"['1-5', '8-2', '2-2']"
